symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2025-07-17 11:10:00+00:00,624.11,624.2,624.11,624.2,1828.0,29.0,624.176832
SPY,2025-07-17 11:11:00+00:00,624.28,624.29,624.2,624.2,1995.0,44.0,624.261342
SPY,2025-07-17 11:12:00+00:00,624.27,624.27,624.27,624.27,187.0,10.0,624.27
SPY,2025-07-17 11:14:00+00:00,624.25,624.25,624.25,624.25,470.0,12.0,624.25
SPY,2025-07-17 11:15:00+00:00,624.25,624.25,624.25,624.25,590.0,14.0,624.25
SPY,2025-07-17 11:16:00+00:00,624.1,624.1,624.1,624.1,606.0,31.0,624.1
SPY,2025-07-17 11:17:00+00:00,624.1,624.1,624.04,624.1,3802.0,47.0,624.074519
SPY,2025-07-17 11:18:00+00:00,624.19,624.19,624.14,624.14,1393.0,29.0,624.17
SPY,2025-07-17 11:19:00+00:00,624.12,624.12,624.1,624.12,2630.0,52.0,624.118333
SPY,2025-07-17 11:20:00+00:00,624.12,624.16,624.12,624.16,730.0,15.0,624.14
SPY,2025-07-17 11:21:00+00:00,624.13,624.14,624.13,624.14,441.0,12.0,624.135
SPY,2025-07-17 11:23:00+00:00,624.16,624.16,624.16,624.16,163.0,7.0,624.16
SPY,2025-07-17 11:26:00+00:00,624.25,624.34,624.25,624.34,1593.0,27.0,624.30875
SPY,2025-07-17 11:27:00+00:00,624.3,624.3,624.26,624.26,1109.0,20.0,624.293333
SPY,2025-07-17 11:28:00+00:00,624.19,624.21,624.19,624.21,494.0,13.0,624.203548
SPY,2025-07-17 11:29:00+00:00,624.22,624.24,624.22,624.22,709.0,10.0,624.224695
SPY,2025-07-17 11:30:00+00:00,624.15,624.15,624.15,624.15,425.0,18.0,624.15
SPY,2025-07-17 11:31:00+00:00,624.05,624.11,624.05,624.075,1476.0,22.0,624.0886
SPY,2025-07-17 11:32:00+00:00,623.89,624.0,623.89,624.0,2462.0,55.0,623.931111
SPY,2025-07-17 11:33:00+00:00,623.99,623.99,623.99,623.99,930.0,18.0,623.99
SPY,2025-07-17 11:34:00+00:00,623.99,623.99,623.99,623.99,251.0,12.0,623.99
SPY,2025-07-17 11:35:00+00:00,624.04,624.04,624.04,624.04,208.0,10.0,624.04
SPY,2025-07-17 11:36:00+00:00,624.04,624.1,624.03,624.1,2711.0,40.0,624.065323
SPY,2025-07-17 11:41:00+00:00,624.08,624.08,624.08,624.08,444.0,8.0,624.08
